Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
GTM,Guatemala,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,10.1
GTM,Guatemala,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.1
GTM,Guatemala,24720,Country rank and value in the ITU ICT Development Index,Rank,,,123
GUY,Guyana,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0.2
GUY,Guyana,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.4
GUY,Guyana,24720,Country rank and value in the ITU ICT Development Index,Rank,,,118
HKG,"Hong Kong SAR, China",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,107
HKG,"Hong Kong SAR, China",24719,Country rank and value in the ITU ICT Development Index,Value,,,8.4
HKG,"Hong Kong SAR, China",24720,Country rank and value in the ITU ICT Development Index,Rank,,,7
HND,Honduras,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,17.2
HND,Honduras,24719,Country rank and value in the ITU ICT Development Index,Value,,,3
HND,Honduras,24720,Country rank and value in the ITU ICT Development Index,Rank,,,124
HRV,Croatia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,75.4
HRV,Croatia,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.8
HRV,Croatia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,41
HTI,Haiti,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0.2
HUN,Hungary,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,39.8
HUN,Hungary,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.6
HUN,Hungary,24720,Country rank and value in the ITU ICT Development Index,Rank,,,46
IDN,Indonesia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,42
IDN,Indonesia,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.6
IDN,Indonesia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,115
IND,India,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,9.4
IND,India,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.5
IND,India,24720,Country rank and value in the ITU ICT Development Index,Rank,,,135
IRL,Ireland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,95
IRL,Ireland,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.7
IRL,Ireland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,21
IRN,"Iran, Islamic Rep.",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,20
IRN,"Iran, Islamic Rep.",24719,Country rank and value in the ITU ICT Development Index,Value,,,4.7
IRN,"Iran, Islamic Rep.",24720,Country rank and value in the ITU ICT Development Index,Rank,,,90
IRQ,Iraq,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,3.6
ISL,Iceland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,93.4
ISL,Iceland,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.7
ISL,Iceland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,3
ISR,Israel,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,56.1
ISR,Israel,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.3
ISR,Israel,24720,Country rank and value in the ITU ICT Development Index,Rank,,,30
ITA,Italy,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,82.1
ITA,Italy,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.9
ITA,Italy,24720,Country rank and value in the ITU ICT Development Index,Rank,,,36
JAM,Jamaica,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,53.5
JAM,Jamaica,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.2
JAM,Jamaica,24720,Country rank and value in the ITU ICT Development Index,Rank,,,101
JOR,Jordan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,35.6
JOR,Jordan,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.7
JOR,Jordan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,89
JPN,Japan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,126.4
JPN,Japan,24704,"Mobile-cellular monthly subscription charge, in USD",USD,,24.6,
JPN,Japan,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.3
JPN,Japan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,11
KAZ,Kazakhstan,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,60
KAZ,Kazakhstan,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.4
KAZ,Kazakhstan,24720,Country rank and value in the ITU ICT Development Index,Rank,,,52
KEN,Kenya,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,15.5
KEN,Kenya,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.8
KEN,Kenya,24720,Country rank and value in the ITU ICT Development Index,Rank,,,129
KGZ,Kyrgyz Republic,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,31
KGZ,Kyrgyz Republic,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.9
KGZ,Kyrgyz Republic,24720,Country rank and value in the ITU ICT Development Index,Rank,,,108
KHM,Cambodia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,42.8
KHM,Cambodia,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.8
KHM,Cambodia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,127
KIR,Kiribati,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0.3
KIR,Kiribati,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.1
KIR,Kiribati,24720,Country rank and value in the ITU ICT Development Index,Rank,,,147
KNA,St. Kitts and Nevis,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,71
KNA,St. Kitts and Nevis,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.2
KNA,St. Kitts and Nevis,24720,Country rank and value in the ITU ICT Development Index,Rank,,,54
KOR,"Korea, Rep.",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,109.7
KOR,"Korea, Rep.",24719,Country rank and value in the ITU ICT Development Index,Value,,,8.8
KOR,"Korea, Rep.",24720,Country rank and value in the ITU ICT Development Index,Rank,,,1
KWT,Kuwait,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,139.3
KWT,Kuwait,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.5
KWT,Kuwait,24720,Country rank and value in the ITU ICT Development Index,Rank,,,48
LAO,Lao PDR,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,14.2
LAO,Lao PDR,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.2
LAO,Lao PDR,24720,Country rank and value in the ITU ICT Development Index,Rank,,,144
LBN,Lebanon,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,53.4
LBN,Lebanon,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.9
LBN,Lebanon,24720,Country rank and value in the ITU ICT Development Index,Rank,,,61
LBR,Liberia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,20.5
LBR,Liberia,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.7
LBR,Liberia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,161
LCA,St. Lucia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,33.6
LCA,St. Lucia,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.7
LCA,St. Lucia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,87
LIE,Liechtenstein,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,101.4
LKA,Sri Lanka,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,15.8
LKA,Sri Lanka,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.6
LKA,Sri Lanka,24720,Country rank and value in the ITU ICT Development Index,Rank,,,116
LSO,Lesotho,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,37.7
LSO,Lesotho,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.5
